version,phase,model_id,model_name,split,k,evaluated_users,precision_at_k,recall_at_k,ndcg_at_k,hit_at_k,catalog_coverage_at_k,total_recommendations,unique_recommended_items,runtime_seconds,seconds_per_user,parameters,notes
B,B0,B0_m5,Bayesian popularity baseline,filtered_temporal,10,9547,0.00015711741908452917,0.0015711741908452917,0.0008296499959899598,0.0015711741908452917,0.00044000414121544675,95470,17,0.17412781715393066,1.823900881469893e-05,"{""m"": 5}",Bayesian popularity smoothing
B,B0,B0_m10,Bayesian popularity baseline,filtered_temporal,10,9547,0.0003037603435634231,0.0030376034356342308,0.0013630790478707758,0.0030376034356342308,0.00036235635158919145,95470,14,0.05232691764831543,5.480980166368014e-06,"{""m"": 10}",Bayesian popularity smoothing
B,B0,B0_m20,Bayesian popularity baseline,filtered_temporal,10,9547,0.0003037603435634231,0.0030376034356342308,0.0016218269856930678,0.0030376034356342308,0.0003882389481312765,95470,15,0.05254340171813965,5.503655778583811e-06,"{""m"": 20}",Bayesian popularity smoothing
B,B0,B0_m50,Bayesian popularity baseline,filtered_temporal,10,9547,0.000858908557662093,0.008589085576620928,0.0035557114206362095,0.008589085576620928,0.0004917693342996169,95470,19,0.04908871650695801,5.141794962496911e-06,"{""m"": 50}",Bayesian popularity smoothing
B,B0,B0_m100,Bayesian popularity baseline,filtered_temporal,10,9547,0.0010265004713522574,0.010265004713522572,0.004707789341819872,0.010265004713522572,0.0006211823170100424,95470,24,0.04965496063232422,5.2011061728631215e-06,"{""m"": 100}",Bayesian popularity smoothing
B,B1,B1_k10,User-based kNN CF,filtered_temporal,10,9547,0.0008170105792395518,0.008170105792395518,0.0042330331417885225,0.008170105792395518,0.3651775546122787,95470,14109,2.7575953006744385,0.00028884417101439596,"{""k_neighbors"": 10, ""metric"": ""cosine""}",Fallback to B0 for insufficient user history
B,B1,B1_k20,User-based kNN CF,filtered_temporal,10,9547,0.0010998219335917041,0.010998219335917042,0.006052276666607495,0.010998219335917042,0.32648307278186145,95470,12614,3.2517940998077393,0.0003406089975707279,"{""k_neighbors"": 20, ""metric"": ""cosine""}",Fallback to B0 for insufficient user history
B,B1,B1_k50,User-based kNN CF,filtered_temporal,10,9547,0.001927307007436891,0.01927307007436891,0.009840914427326824,0.01927307007436891,0.15382027124961176,95470,5943,5.862461566925049,0.0006140632205850056,"{""k_neighbors"": 50, ""metric"": ""cosine""}",Fallback to B0 for insufficient user history
B,B2,B2_k10,Item-based kNN CF implicit,filtered_temporal,10,9547,0.000712265633183199,0.007122656331831989,0.004012430134303749,0.007122656331831989,0.5294802774614349,95470,20457,14.060087442398071,0.0014727231007015892,"{""k_neighbors"": 10, ""metric"": ""cosine"", ""positive_threshold"": 4}",Implicit positive-only item-kNN
B,B2,B2_k20,Item-based kNN CF implicit,filtered_temporal,10,9547,0.0007855870954226458,0.00785587095422646,0.004352338650478978,0.00785587095422646,0.5116212858473962,95470,19767,15.893611192703247,0.0016647754470203464,"{""k_neighbors"": 20, ""metric"": ""cosine"", ""positive_threshold"": 4}",Implicit positive-only item-kNN
B,B2,B2_k50,Item-based kNN CF implicit,filtered_temporal,10,9547,0.0008379595684508222,0.008379595684508223,0.004322027997877269,0.008379595684508223,0.4847551506367119,95470,18729,20.817568063735962,0.002180535043860476,"{""k_neighbors"": 50, ""metric"": ""cosine"", ""positive_threshold"": 4}",Implicit positive-only item-kNN
B,B2,B2_k100,Item-based kNN CF implicit,filtered_temporal,10,9547,0.0008798575468733634,0.008798575468733633,0.004431794617025265,0.008798575468733633,0.4677244021120199,95470,18071,28.63741445541382,0.002999624432325738,"{""k_neighbors"": 100, ""metric"": ""cosine"", ""positive_threshold"": 4}",Implicit positive-only item-kNN
B,B3,B3_k10,Item-based kNN CF rating-weighted,filtered_temporal,10,9547,0.0006808421493662931,0.006808421493662931,0.003874093133476035,0.006808421493662931,0.5449580701936019,95470,21055,14.520169734954834,0.0015209143956169304,"{""k_neighbors"": 10, ""weighting"": ""rating_minus_user_mean""}",Weighted item-kNN using centered user ratings
B,B3,B3_k20,Item-based kNN CF rating-weighted,filtered_temporal,10,9547,0.0007227401277888342,0.007227401277888342,0.0037339987348862687,0.007227401277888342,0.5309814680608759,95470,20515,16.302143335342407,0.0017075671242633714,"{""k_neighbors"": 20, ""weighting"": ""rating_minus_user_mean""}",Weighted item-kNN using centered user ratings
B,B3,B3_k50,Item-based kNN CF rating-weighted,filtered_temporal,10,9547,0.0006703676547606579,0.006703676547606578,0.0036563925378541333,0.006703676547606578,0.5077388963660835,95470,19617,21.07595705986023,0.002207599985321067,"{""k_neighbors"": 50, ""weighting"": ""rating_minus_user_mean""}",Weighted item-kNN using centered user ratings
B,B3,B3_k100,Item-based kNN CF rating-weighted,filtered_temporal,10,9547,0.0007227401277888341,0.007227401277888342,0.003865011560900466,0.007227401277888342,0.495444663008593,95470,19142,29.455593585968018,0.003085324561220071,"{""k_neighbors"": 100, ""weighting"": ""rating_minus_user_mean""}",Weighted item-kNN using centered user ratings
B,B4,B4_svd32,SVD CF 32,filtered_temporal,10,9547,0.0024824552215355613,0.024824552215355608,0.012756190797281871,0.024824552215355608,0.030670876902370844,95470,1185,8.291414260864258,0.0008684837394851008,"{""n_components"": 32}",TruncatedSVD collaborative latent factors
B,B4,B4_svd64,SVD CF 64,filtered_temporal,10,9547,0.002524353199958102,0.02524353199958102,0.01308927129619586,0.02524353199958102,0.03263795423956931,95470,1261,8.557781457901001,0.0008963843571698964,"{""n_components"": 64}",TruncatedSVD collaborative latent factors
B,B4,B4_svd128,SVD CF 128,filtered_temporal,10,9547,0.0021577458887608674,0.02157745888760867,0.010476679523656085,0.02157745888760867,0.032042654519101356,95470,1238,9.885303258895874,0.0010354355566037368,"{""n_components"": 128}",TruncatedSVD collaborative latent factors
