metric,value
filtered_interactions_count,533018.0
train_interactions_count,507043.0
test_interactions_count,10069.0
filtered_user_count,16973.0
filtered_recipe_count,39844.0
train_user_count,14879.0
test_user_count,10069.0
train_recipe_count,38636.0
test_recipe_count,5973.0
filtered_positive_count,508608.0
filtered_positive_ratio,0.9542041732174148
train_positive_count,484073.0
train_positive_ratio,0.9546981222499867
test_positive_count,9547.0
test_positive_ratio,0.9481577117886583
num_users,16973.0
num_recipes,39844.0
num_interactions,533018.0
possible_matrix_cells,676272212.0
density,0.0007881707846957935
sparsity,0.9992118292153042
test_users_count,10069.0
test_users_also_in_train_count,10069.0
cold_start_test_users_count,0.0
test_recipes_count,5973.0
test_recipes_also_in_train_count,5973.0
cold_start_test_recipes_count,0.0
